Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,Capital Gains
2014-10-27 00:00:00-04:00,0.44146385987928494,0.44361499680024175,0.4366835302833704,0.44194188714027405,145092000,0.0,0.0,NVDA,
2014-10-27 00:00:00-04:00,164.09120666118335,164.6948232334085,163.50436076937584,164.4517059326172,82954000,0.0,0.0,SPY,0.0
2014-10-28 00:00:00-04:00,165.00503136294,166.3463916397925,164.92956969349348,166.3380126953125,106736000,0.0,0.0,SPY,0.0
2014-10-28 00:00:00-04:00,0.44074679570571296,0.4529366473226003,0.44026876845452373,0.45245862007141113,192580000,0.0,0.0,NVDA,
2014-10-29 00:00:00-04:00,0.4505464692365743,0.4531756617798027,0.4455271120151421,0.44959041476249695,168340000,0.0,0.0,NVDA,
2014-10-29 00:00:00-04:00,166.45534971997526,166.93320530864514,164.98822880568335,166.0864715576172,142557000,0.0,0.0,SPY,0.0
2014-10-30 00:00:00-04:00,0.44839528775140036,0.45030739650905854,0.44098576658994804,0.446722149848938,170260000,0.0,0.0,NVDA,
2014-10-30 00:00:00-04:00,165.64212776286323,167.62902436353343,165.4912172606864,167.1511688232422,113330000,0.0,0.0,SPY,0.0
2014-10-31 00:00:00-04:00,0.45699997513008755,0.4672777189439014,0.45460981010166984,0.46703869104385376,256316000,0.0,0.0,NVDA,
2014-10-31 00:00:00-04:00,169.16317474324617,169.196716087863,168.31644127965603,169.0625762939453,146903000,0.0,0.0,SPY,0.0
2014-11-03 00:00:00-05:00,169.28062483075502,169.72495191738585,168.76922781508617,169.15487670898438,93600000,0.0,0.0,SPY,0.0
2014-11-03 00:00:00-05:00,0.47779433563162393,0.4794674736026117,0.4725359793466864,0.4749261438846588,308732000,0.0,0.0,NVDA,
2014-11-04 00:00:00-05:00,168.7021354708253,169.01233545044528,167.72126187449885,168.56800842285156,93343000,0.0,0.0,SPY,0.0
2014-11-04 00:00:00-05:00,0.47803348259070627,0.4828138128577308,0.47014593195151266,0.48114070296287537,360196000,0.0,0.0,NVDA,
2014-11-05 00:00:00-05:00,169.80035881469328,169.84227910901419,168.88655524297567,169.6326904296875,91709000,0.0,0.0,SPY,0.0
2014-11-05 00:00:00-05:00,0.48400892391750283,0.4842479233350445,0.477555455262607,0.48114070296287537,335652000,0.0,0.0,NVDA,
2014-11-06 00:00:00-05:00,169.67462255377,170.40398711514942,169.04585647195225,170.311767578125,107089000,0.0,0.0,SPY,0.0
2014-11-06 00:00:00-05:00,0.48209669388871146,0.4840088599343632,0.4746871715571126,0.4832918047904968,394088000,0.0,0.0,NVDA,
2014-11-07 00:00:00-05:00,170.32852005678149,170.68901922382452,169.85904347928323,170.47103881835938,89540000,0.0,0.0,SPY,0.0
2014-11-07 00:00:00-05:00,0.4887892149913975,0.4945255994546537,0.46823375660119104,0.47301408648490906,450800000,0.0,0.0,NVDA,
2014-11-10 00:00:00-05:00,170.50465455631738,171.0579591684603,170.29506579333332,171.00765991210938,66319000,0.0,0.0,SPY,0.0
2014-11-10 00:00:00-05:00,0.47253604184887854,0.48161870248614497,0.4713409594218192,0.4785114824771881,293388000,0.0,0.0,NVDA,
2014-11-11 00:00:00-05:00,171.07466397720657,171.28425265948627,170.73093546812117,171.17526245117188,54499400,0.0,0.0,SPY,0.0
2014-11-11 00:00:00-05:00,0.47564326399860896,0.4782724282541653,0.4687117687946597,0.47277507185935974,212992000,0.0,0.0,NVDA,
2014-11-12 00:00:00-05:00,0.4711019636416053,0.47229704615010143,0.4632144133869278,0.46966788172721863,204584000,0.0,0.0,NVDA,
2014-11-12 00:00:00-05:00,170.4794325913937,171.2255677593303,170.4458912398699,170.99082946777344,90120300,0.0,0.0,SPY,0.0
2014-11-13 00:00:00-05:00,0.4713410104651526,0.4720580656976434,0.46345345989378495,0.46727773547172546,225328000,0.0,0.0,NVDA,
2014-11-13 00:00:00-05:00,171.15852042312412,171.72021660859576,170.36208591513537,171.1836700439453,85357900,0.0,0.0,SPY,0.0
2014-11-14 00:00:00-05:00,0.46775572931142195,0.473014086484909,0.4632143988260817,0.47301408648490906,160248000,0.0,0.0,NVDA,
