Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
1212580517905780737,https://twitter.com/__mharrison__/status/1212580517905780737,Sounds like a great topic! https://t.co/f8bZbAYZbA,2020-01-02 03:44:00+00:00,1465.0,7.0,0.004778156996587,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1212582494828036097,https://twitter.com/__mharrison__/status/1212582494828036097,@FogleBird Looks like SLC. I can see my 🏠,2020-01-02 03:52:00+00:00,154.0,3.0,0.0194805194805194,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1212613735698690049,https://twitter.com/__mharrison__/status/1212613735698690049,@afilina That's really amount and frustrating. As a fellow author you would think that the publisher would do their part to take care of these matters (as the course is their property) 🤔,2020-01-02 05:56:00+00:00,1024.0,6.0,0.005859375,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1212911749617242113,https://twitter.com/__mharrison__/status/1212911749617242113,"@randal_olson I use anaconda when teaching, but have found homebrew Python tends to with fine for personal and consulting gigs. (These are ml/ds type work). Virtualenv/pip ftw 🐍",2020-01-03 01:41:00+00:00,1419.0,14.0,0.0098661028893587,0.0,1.0,5.0,7.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1212920556028252160,https://twitter.com/__mharrison__/status/1212920556028252160,@AlSweigart Sometimes the students aren't motivated. Some pointy headed figure wants them to be in the class ...,2020-01-03 02:16:00+00:00,198.0,1.0,0.005050505050505,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1212921038356434947,https://twitter.com/__mharrison__/status/1212921038356434947,@tmarthal @TedPetrou This. Just get blank keycaps,2020-01-03 02:18:00+00:00,170.0,3.0,0.0176470588235294,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1212921192287330304,https://twitter.com/__mharrison__/status/1212921192287330304,@gabegundy It's all downhill since the man in black,2020-01-03 02:18:00+00:00,104.0,2.0,0.0192307692307692,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1212969747186208768,https://twitter.com/__mharrison__/status/1212969747186208768,@anthonypjshaw @brettsky @codewithanthony That looks better,2020-01-03 05:31:00+00:00,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1212971634019033088,https://twitter.com/__mharrison__/status/1212971634019033088,@jet_set A little smug? 🤔😭,2020-01-03 05:39:00+00:00,900.0,4.0,0.0044444444444444,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1213194379793293312,https://twitter.com/__mharrison__/status/1213194379793293312,@juliasilge @rstudio Big news. Congrats! 👏,2020-01-03 20:24:00+00:00,252.0,2.0,0.0079365079365079,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
